idx,link_to_full_description,title,contributor_country,short_description,image,location-1-lat,location-1-lng,location-2-lat,location-2-lng,location-3-lat,location-3-lng,location-4-lat,location-4-lng,sdgs-tag-1,sdgs-tag-2,sdgs-tag-3,sdgs-tag-4,sdgs-tag-5,sdgs-tag-6,thematic_areas-tag-1,thematic_areas-tag-2,thematic_areas-tag-3,thematic_areas-tag-4,thematic_areas-tag-5,thematic_areas-tag-6
5994,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5994,NFT,Guatemala,"Description: It is a technique where nutrients are pumped from a reservoir, and it is not necessary to manipulate plants.

This technique ensures the safety of the products, since it occurs inside large greenhouses that regulate the temperature and also protect crops from diseases or insects that may affect the crop.  ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/bcb59ba081f36ee2817ce00fc7efa6e1.png,15.5855545,-90.345759,,,,,,,Responsible consumption and production,Sustainable cities and communities,Climate action,,,,irrigation,water supply,climate change adaptation,hydroponics,,
5993,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5993,Gravity Irrigation,Guatemala,"Description: These irrigation systems work by taking advantage of the capacity of water to travel the path of the crop on its own. It does not need pumps and can be used to water your garden temporarily or throughout the season. It is also used in individual plants, orchards or row crops.  ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/d19c5b9042de3d6487296451df6ab159.png,15.5855545,-90.345759,,,,,,,Responsible consumption and production,Sustainable cities and communities,Climate action,,,,climate change adaptation,irrigation,water supply,water scarcity,,
5992,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5992,Irrigation with vessels,Guatemala,"Description: Millennial system that requires no energy and uses only the water that plants need. In addition, it employs artisans, contributes to food security, is cheap and biodegradable.

Through a system of transpiration, the vessels provide the necessary water to the plants that settle near them. The plants use the water they need and have a reserve at their fingertips, which allows them to reduce water stress in the dry season. ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/3cb6a5c12daa77f78c8f15733dc06db5.png,-31.7613365,-71.3187697,,,,,,,Sustainable cities and communities,Responsible consumption and production,Climate action,,,,irrigation,water supply,climate change adaptation,water scarcity,,
5991,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5991,Subterranean Drip Irrigation,Guatemala,"Description: Underground drip irrigation is a method that involves applying water under the soil surface. To install this type of irrigation heavy machinery is necessary since several trenches need to be opened on the sides of the crops, in order to install pipes, pumps, etc. 

Through automated processes, the flow and amount of water that plants receive directly into the roots can be regulated.   ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/994b075b49d9436f60b79585fcb052c7.png,14.6222328,-90.5185188,15.5855545,-90.345759,,,,,Sustainable cities and communities,Responsible consumption and production,Climate action,,,,irrigation,water supply,climate change adaptation,water scarcity,,
5990,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5990,Sprinkler Irrigation,Guatemala,"Description: The mechanism works through a network of pipes that transport water to the sprinklers, which use pressure to trigger it. Basically, it seeks to imitate the way in which rain would naturally irrigate these plants.

In this case, the implementation of this irrigation produced better quality potatoes and quadrupled the production compared to traditional irrigation.  ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/bd045b23cfcd695c93976a05cdc0499f.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Sustainable cities and communities,Responsible consumption and production,,,,water management,irrigation,water supply,,,
5989,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5989,Drip Irrigation,Guatemala,"Description: This system is used in lavender plantations in Guadalajara and Cuenca. The system is ideal for this type of crops, since spraying of the aerial part of the plant is avoided, so that the flowers or leaves of the plant are not damaged.  ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/a55752ceeb5b22666782f64825e9dd03.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Sustainable cities and communities,Responsible consumption and production,,,,water supply,irrigation,climate change adaptation,crops,,
5988,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5988,Collection Tanks for Schools,Guatemala,"Description: The municipality of Guatemala, together with Global Water Partnership have developed these pilot systems as a solution for water scarcity in urban areas of Guatemala.

Like other collection systems, these are based on the collection of rain by gutters installed on the roof, which lead the water to tanks that serve to contain the water.   ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/f978b453e10f80f513b0c5e00a921e5b.png,15.5855545,-90.345759,,,,,,,Climate action,Clean water and sanitation,Sustainable cities and communities,,,,water supply,rain water collection,climate change adaptation,water scarcity,,
5987,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5987,Fog collectors,Guatemala,"Description: The Aqualonis system is easy to install and is carbon neutral, as it does not use energy for its operation. Through their ultra-thin high-tech meshes, they extract the water that is in the air and collect it in containers that store the liquid ensuring that the quality is optimal for human consumption.   ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/ac30b65ec7b7bb054b10302d3101655d.png,31.1728205,-7.3362482,,,,,,,Good health and well-being,Clean water and sanitation,Sustainable cities and communities,Climate action,,,water supply,climate change adaptation,fog capture,water scarcity,,
5986,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5986,Water Collection tanks using the roof - Asucuch,Guatemala,"Description: The Association of Organizations of the Cuchumatanes has promoted this project as a measure of adaptation to climate change, focusing on the effects of droughts. The system they use captures the water through sheets of Aluzinc, then conducts the water into a PVC channel and finally settles inside a water tank. At the bottom is installed a multi connector that allows the extraction of water.   ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/c61b7eb2c6d5c6a94afc89e06c0632cd.png,15.5855545,-90.345759,,,,,,,Good health and well-being,Clean water and sanitation,Sustainable cities and communities,,,,rain water collection,water supply,rainwater collector,climate change adaptation,,
5985,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5985,Water Collection and Filtration Tanks,Guatemala,"Description: The way these systems work is through the installation of PVC collecting gutters on the edges of sheet roofs. These gutters conduct rainwater into a water tank, where the water is stored. Once the water is stored, the beneficiary families can open a tap, which allows the passage of water through a filter that purifies the liquid, for later consumption.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/7d563a91308c160e9fd880f8322a9c0f.png,15.5855545,-90.345759,,,,,,,Reduced innequalities,Good health and well-being,Clean water and sanitation,"Industry, innovation and infrastructure",Sustainable cities and communities,,filtration,water,rain water collection,,,
5949,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5949,Satellite+AI Water quality monitoring,Mexico,"The project uses satellite imagery and artificial intelligence for automated analysis and constant monitoring of physical, chemical, and biological parameters such as:

• Surface temperature
• Turbidity
• Dissolved oxygen
• Chlorophyll-a
• Total nitrogen
• Total phosphorus


",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/a1805503-b340-4e77-8c4a-49f4deed490f/939f324155d32dedda188b799a7de7f9.png,19.0297838,-98.9858196,,,,,,,Clean water and sanitation,"Industry, innovation and infrastructure",Climate action,,,,pollution monitoring,water conservation,ocean conservation,,,
5948,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5948,"Nejayote, biofuel and fertilizers",Mexico,"To produce maize tortillas, maize is first cooked with lime for 12-18 hours. Nejayote is the wastewater resulting from the process, a land pollutant. In Mexico, it is estimated that in 2012, 14.4 million cubic meters of Nejayote were produced per month. How to manage this waste is connected to how it can be better utilized.

The project seeks alternatives and methods that take advantage of the Nejayote for the production of energy and agricultural products by identifying the needs of a community and connecting with ways in which it can mitigate the Nejayote contamination problem and also a way in which it can help millers to profit from the waste they produce.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/a1805503-b340-4e77-8c4a-49f4deed490f/07d999a18a9a3d2e5b349267edee0143.png,20.9670759,-89.6237402,,,,,,,Responsible consumption and production,Affordable and clean energy,"Industry, innovation and infrastructure",,,,industrial waste,circular economy,waste water management,,,
5923,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5923,Sistema de riego automático,Ecuador,"Como parte de la Minga de Innovación del Laboratorio de Aceleración PNUD, y con el fin de encontrar soluciones a problemáticas que enfrentan las hierbateras de la Plataforma Primero de Mayo en el mercado de San Roque. Estudiantes de la ESFOT de la Escuela Politécnica Nacional identificaron que una de las problemáticas está relacionada con la carencia de un sistema de riego para abastecer los sembríos de forma eficiente. Por esto, realizaron un prototipo de sistema de riego por aspersión automatizado que usa un sensor de humedad y una bomba, para poder facilitar el acceso del agua a los sembríos, así como evitar que las hierbateras tengan que movilizar el agua de manera mecánica haciendo grandes esfuerzos físicos. De esta forma, además, se aprovecha de mejor manera el agua, evitando desperdicios.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/6193c209-a070-49fb-bcb1-1b86d4aae054/0e0d5674daa367a55f0f0548f13f9cd8.png,-0.2203447,-78.5171685,,,,,,,Climate action,Clean water and sanitation,Sustainable cities and communities,,,,rain water collection,"agriculture, cooperativism",agrotech,planting,water management,
5916,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5916,Biofiltros para el tratamiento de aguas residuales,Ecuador,"La comunidad de Chilcapamba, en colaboración con el FONAG y el grupo Yakunina,construyeron un biofiltro para tratar aguas negras y grises, en una de las casas de la localidad. Esta comunidad no cuenta con alcantarillado adecuado para el desecho de aguas residuales, lo cual convierte este tipo de biofiltros en una de las alternativas más viables en cuanto a tecnología ecológica. Al pasar por el vermifiltro de lombrices, el agua cumple con los índices de calidad adecuados para ser enviada el río.




",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/6193c209-a070-49fb-bcb1-1b86d4aae054/7984d523df31eb7c6c73847b9df13184.png,-3.077437697,-79.25537109,,,,,,,Clean water and sanitation,,,,,,waste water management,waste system,bio-waste,biodegradable,community involment,community  involment
5910,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5910,aquaponic drip system,Guatemala,"In these irrigation systems, a timer controls a pump that causes the nutrient solution to drip onto the underside of the plants. In some of these systems, it is possible to recover excess nutrient solution for reuse, while in others the excess solution is discarded.

",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/5665330d66229813c98a39579c1a5a8c.jpg,15.5855545,-90.345759,,,,,,,Climate action,Zero hunger,Sustainable cities and communities,Responsible consumption and production,,,aquaponic,water management,sustainable agriculture,water conservation,,
5909,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5909,Ebb and flow system,Guatemala,"An ebb and flow system temporarily floods the growing trays with nutrient solution and then drains the nutrient solution back into the reservoir. The flow is triggered by a pump connected to a timer that is activated several times a day. When the timer stops running, the solution flows back into the reservoir.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/f135d04d1918783a1993ff62b1d23df8.jpg,15.5855545,-90.345759,,,,,,,Zero hunger,Sustainable cities and communities,Responsible consumption and production,Climate action,,,water management,sustainable agriculture,aquaponic,,,
5908,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5908,Aeroponics System,Guatemala,"A technique in which the roots are suspended in air, in a dark medium, and are misted with nutrient solution every few minutes. Although it is a highly efficient technique, roots can dry out quickly if misting cycles are interrupted.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/ee07119110a84064a960a70314425885.jpg,15.5855545,-90.345759,,,,,,,Responsible consumption and production,Zero hunger,Sustainable cities and communities,Climate action,,,water conservation,water management,aquaponic,,,
5907,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5907,Root System Floating,Guatemala,"In this method, the plants are placed in a sheet or raft - usually made of unicell - that floats on top of the nutrient solution, so that their roots are submerged in the solution. An air pump provides the roots with the oxygen necessary for optimal development. ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/78c30d81ec856a0ed993fe42df42a4cd.jpg,15.5855545,-90.345759,,,,,,,Zero hunger,Responsible consumption and production,Climate action,Sustainable cities and communities,,,water management,agriculture,sustainable agriculture,aquaponic,,
5906,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5906,Nutrient film system,Guatemala,"It consists of creating a recirculating film of nutrient solution. The nutrient solution is pumped from a reservoir into growth trays or PVC tubes with plants, where it comes into contact with their roots before returning to the reservoir.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/f6af94e8cc7a2271a0a26b0415cfd5a0.jpg,15.5855545,-90.345759,,,,,,,Sustainable cities and communities,Zero hunger,Responsible consumption and production,Climate action,,,irrigation,reduced waste water,aquaponic,water conservation,,
5905,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5905,wick system,Guatemala,"his technique is one of the simplest, as it does not require pumps to transport the nutrient solution from the reservoir to the growing trays. Instead, the plants receive the nutrient solution via wicks or wicks.
It can only be used for plants that require little water.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/e7bbc66be3fe7ab7d3674fbb7a5865cf.jpg,15.5855545,-90.345759,,,,,,,Zero hunger,Sustainable cities and communities,Responsible consumption and production,Clean water and sanitation,,,aquaponic,sustainable agriculture,water conservation,water management,,
5904,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5904,Irrigation with pots,Guatemala,"An ancient system that requires no energy and uses only the water the plants need. It also provides employment for artisans, contributes to food security, is cheap and biodegradable.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/e1795b38bdb1442daa11a91fa811cad2.jpg,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Zero hunger,Sustainable cities and communities,Responsible consumption and production,,,sustainable agriculture,irrigation,"agriculture, cooperativism",water conservation,,
5903,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5903,Underground drip irrigation,Guatemala,Subsurface drip irrigation is a method of applying water below the soil surface. This is done by using buried micro-pipes. The strategy of this type of irrigation is to apply very small amounts of water with a high frequency. This ensures constant moisture in the soil.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/4acc28dcf659596170e8984a409f8b06.jpg,15.5855545,-90.345759,,,,,,,Sustainable cities and communities,Zero hunger,Responsible consumption and production,Climate action,,,water management,irrigation,sustainable agriculture,,,
5902,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5902,Sprinkler irrigation,Guatemala,"It consists of applying water by imitating rain, i.e. by means of a jet of water sprayed in droplets. The mechanism works through a network of pipes that transports the water to the sprinklers, which use pressure to trigger it.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/9638cccf26734e371dd05b658f5e50d6.jpg,15.5855545,-90.345759,,,,,,,Zero hunger,Responsible consumption and production,Climate action,Sustainable cities and communities,,,sustainable agriculture,water conservation,water management,irrigation,,
5901,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5901,Gravity irrigation,Guatemala,"These irrigation systems work by harnessing the ability of water to travel the path of least resistance on its own. It does not require pumps and can be used to water your garden temporarily or throughout the season. It is also used for individual plants, orchards or row crops.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/130d130f101aea7ded5a315de16175bb.jpg,15.5855545,-90.345759,,,,,,,Responsible consumption and production,Zero hunger,Sustainable cities and communities,Climate action,,,rain water collection,irrigation,water management,,,
5900,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5900,drip irrigation,Guatemala,"Irrigation method used in arid areas as it allows the optimal use of water and fertilizers. The water applied by this method of irrigation infiltrates towards the roots of the plants, directly irrigating the zone of influence of the roots through a system of pipes and emitters, which increases productivity and yields.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/721099ebcb63ca0e2f81d27404840782.png,15.5855545,-90.345759,,,,,,,Responsible consumption and production,Climate action,Zero hunger,"Industry, innovation and infrastructure",Sustainable cities and communities,,water conservation,water management,irrigation,,,
5899,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5899,Ozone filters (O3),Guatemala,"Ozone filters (O3) are an excellent choice for homes or places such as offices, schools or meeting centers. Through the ozonation process, water for human consumption is filtered.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/e1146d33bcf14aac3936f38004beac71.png,14.6222328,-90.5185188,,,,,,,Sustainable cities and communities,Clean water and sanitation,Reduced innequalities,Climate action,,,clean water,water,ozone,water filter,,
5898,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5898,SunSpring Hybrid,Guatemala,"SunSpring Hybrid is an autonomous microbiological water purification system, powered by solar and wind energy, capable of producing up to 20,000 liters per day for more than 10 years.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/22fd710bac0566fc5a9d99ab4552756f.jpg,39.7837304,-100.445882,,,,,,,Clean water and sanitation,Sustainable cities and communities,Climate action,Affordable and clean energy,,,water management,solarpanels,solar energy,water conservation,safe drinking water,
5896,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5896,FoliaWater,Guatemala,"a book whose pages kill microbes in water. The product originates from Dankovich's doctoral thesis, which focused on the development of paper filters with silver nanoparticles that kill bacteria, viruses and other pathogens. This filter allows thousands of families to have access to clean drinking water on a daily basis.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/6599874f385388050b2398b41cc58881.png,15.5855545,-90.345759,,,,,,,Reduced innequalities,Zero hunger,Clean water and sanitation,Sustainable cities and communities,Responsible consumption and production,,community empowerment,safe drinking water,clean water,community resilience,,
5895,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5895,Water 4 life,Guatemala,"Water 4 Life Global is working on different projects related to water in Lake Atitlán. One of these projects is their water filters, which they donate to the communities so that people can filter their water and consume it without risk of disease.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/f456dc655cc3aa817659bca11bde451e.png,14.6801462,-91.186161,,,,,,,Sustainable cities and communities,Climate action,Zero hunger,Good health and well-being,Clean water and sanitation,,safe drinking water,inclusive and solidary communities,clean water,water management,,
5893,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5893,Lifestraw,Guatemala,"All LifeStraw products start with advanced hollow fibre membrane technology. These are fibre bundles with microscopic holes, so small that organisms such as bacteria, parasites and even dirt and microplastics cannot pass through them. This solution puts pure water within reach of your pocket.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/a993d51b08c8ca332a438bb715b75149.jpg,15.5,-90.25,,,,,,,Climate action,Zero hunger,Clean water and sanitation,Sustainable cities and communities,,,safe drinking water,water conservation,water supply,water filtration,,
5892,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5892,Sunny Clean Water,Guatemala,Solar stills for water purification have been used in the Americas since pre-Columbian times. The technique is simple: water is evaporated using solar energy and the vapour condenses on a surface to collect the clean water.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/4a62ce4c6499de8c851ed98aac209870.jpg,39.7837304,-100.445882,,,,,,,Responsible consumption and production,Climate action,Zero hunger,Clean water and sanitation,Sustainable cities and communities,,water conservation,water management,clean water,rain water collection,water filtration,
5890,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5890,BubbleTech,Guatemala,"Through a system of mass transfer and elimination of contaminants through bubbles. This system can filter water and air with a purification efficiency of 99.98% and the use of 98% of the water. It is ideal for treating saline, waste and industrial water.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/f671d3af596f11abd52499c551e6dfac.png,19.4326296,-99.1331785,,,,,,,Climate action,Clean water and sanitation,Reduced innequalities,Sustainable cities and communities,Life below water,,water supply,water conservation,safe drinking water,water filtration,,
5889,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5889,EcoFilter,Guatemala,"El Ecofiltro es capaz de purificar el agua de casi cualquier fuente (de pila, pozo, grifo, río, lago laguna o lluvia, etc.), con muy pocas excepciones, como por ejemplo el agua salada del mar. Es una excelente solución para comunidades en donde la calidad del agua no es la adecuada.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/503c5ac9363d5488d988fa71fb12ea71.png,14.64247,-90.5131351,,,,,,,Good health and well-being,Clean water and sanitation,Sustainable cities and communities,Climate action,Partnerships for the goals,,water filtration,water conservation,sustainable development,clean water,,
5888,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5888,Ola Filter,Guatemala,"The system uses a tight loop of hollow fibre membranes with microscopic pores that block bacteria, parasites, cysts, micro plastics and sediments in order to filter drinking water. This is an excellent solution for communities with no access to safe drinking water and expensive to buy.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/29f3dccb2f7202ff0994669242f40619.jpg,14.63823,-91.22901,,,,,,,Sustainable cities and communities,No poverty,Zero hunger,Clean water and sanitation,Responsible consumption and production,,water filtration,community involvement,clean water,,,
5887,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5887,AquaLonis - water collecting nets,Guatemala,"Each collector net is quick and easy to install and requires no maintenance. The collectors are carbon neutral, as they operate without energy. The system produces high quality drinking water (approved by WHO standards) and can provide water for agriculture and forestry.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/8f4fcdcf3e0c6d334fa451081c34da46.jpg,14.6222328,-90.5185188,15.5855545,-90.345759,,,,,Zero hunger,Clean water and sanitation,Sustainable cities and communities,Climate action,,,water conservation,water management,water supply,water nets,,
5885,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5885,Municipal Water Harvesting Systems,Guatemala,The rainwater harvesting systems implemented through this pilot project are proposed as an alternative solution to complement the distribution capacity of municipal systems. ,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/bea3e150ff630608effab274771122eb.png,14.6222328,-90.5185188,15.5,-90.25,,,,,Sustainable cities and communities,Clean water and sanitation,Reduced innequalities,Responsible consumption and production,Climate action,,water conservation,community empowerment,rain water collection,safe drinking water,,
5884,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5884,Water Harvesting Systems,Guatemala,"AsoCuch has promoted rainwater harvesting projects on a family scale. The water harvesting systems installed have a capacity of 2,800 liters and are a response to the risks of drought in these communities.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/c6398e41a42191e47c805fac008bbd2f.jpg,15.5855545,-90.345759,,,,,,,Responsible consumption and production,Good health and well-being,Zero hunger,Clean water and sanitation,Sustainable cities and communities,,"cooperativism, community organizing",rain water collection,water supply,water conservation,,
5870,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5870,Ordenanza Municipal para la Protección y Conservación del Recurso Hídrico,El Salvador,"Esta es una Solución Medioambiental de Base que ha sido identificada por el Laboratorio de Aceleración del Programa de las Naciones Unidas en El Salvador, con el apoyo de Plataforma Global, en el marco de la Gira de Mapeo de Soluciones Ambientales.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/d3add372-7008-41fe-bdce-e82d081e148a/a9cb2c6ef3b963baed0f704888f748d7.jpg,13.6650686,-89.2646568,13.9367228,-89.0259345,,,,,Clean water and sanitation,Sustainable cities and communities,,,,,green ideas,civic participation,community empowerment,social cohesion,clean water,
5809,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5809,Water biofilters,Ecuador,"Estas jardineras se realizan con un vermifiltro. El vermifiltro es uno de los mejores inventos de las últimas dos décadas en relación al tratamiento descentralizado de aguas negras. Es un sistema aeróbico, la descomposición de la materia orgánica está realizada principalmente por lombrices (eisenia foetida), bacterias y otros microorganismos aeróbicos cuyo principal subproducto es humus. El mantenimiento de estos sistemas es simple y solo requiere un cambio de sustrato una vez al año.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/a283182a-ddee-4887-bc46-954d8b80b9b0/26e4fbde861efc011b9220bf5d26292b.jpg,-0.1626484,-78.4606464,,,,,,,Clean water and sanitation,,,,,,waste water management,,,,,
5772,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5772,Rain Collection System,North Macedonia,"In Skopje, the average annual precipitation in 2020 was about 600 mm, so a roof with 100 m2 can collect an average of 60,000 l of water.

Keeping this in mind, the students of Vlado Tasevski want to reduce the use of potable water for irrigation of the areas around the school.

Collecting and using rainwater in underground containers that they will use to water their own plants in the school yard.

All the equipment that will be installed would also have a permanent application in the implementation of the Hydrotechnics subject taught in the mechanical engineering school in the 2nd, 3rd and 4th year.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/d8561b4c-ea10-4f3c-810e-399c268be234/f872c8c555c168f4e49b176293528da9.jpg,42.00307,21.425246,,,,,,,Sustainable cities and communities,Responsible consumption and production,Climate action,,,,youth activism,water management,rain water collection,rainwater collector,,
5770,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5770,Water well System,North Macedonia,"The high-school ""Brakja Miladinovci"" from Skopje, will reduce the consumption of drinking water, for irrigation and maintenance of the school yard and the zoo by renewing the school well.

1. Installation of a pipeline to the yard and to the drinking fountain, where electronic drinking fountains will be installed.

2. Building a drip-by-drip system for garden plantings.

3. Construction of a transparent mini water purification station from natural materials.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/d8561b4c-ea10-4f3c-810e-399c268be234/f751e9f4588e338938c920271bd64081.jpg,42.00307,21.425246,,,,,,,Climate action,Clean water and sanitation,,,,,youth,water management,self-sustainable,clean water,,
5769,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5769,Community School Water Project,Fiji,"For the first time, villagers of Kade on Koro islands now have access to clean and safe drinking water. This was all thanks to the funding donated by the EU, Rotary Pacific Water for Life Foundation, and co-financing by the Rural Maritime Development Ministry, VaiWai Natural Artesian Waters, and Latter-day Saints Charities.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/a9f19abb-39ac-4ad2-a01f-8c5966e93cb8/c70eccdaf62ae2406aa791177d8a6c0f.jpg,-18.1440383,178.422959,-17.31541,179.39919,,,,,Partnerships for the goals,Good health and well-being,Clean water and sanitation,,,,partnership with private sector,clean water,community project,,,
